video_id,title,description,tags,published_at,channel_title,video_url,duration,view_count
uWpigUpGR5E,Surah Al Bayyinah Complete Tarjuma And Tafseer,Surah Al Bayyinah Complete Tarjuma And Tafseer By Molana Idrees Sahib,Quran,tarjuma,tafseer,Bayyinah,2024-05-15T12:00:00Z,Zikra Classes,https://www.youtube.com/watch?v=uWpigUpGR5E,PT25M30S,1500
9NfBvTq8_bY,Quran Recitation and Explanation: Surah Al-Fatiha,Complete explanation of Surah Al-Fatiha with word-by-word translation,Quran,Fatiha,explanation,2024-05-12T10:15:00Z,Zikra Classes,https://www.youtube.com/watch?v=9NfBvTq8_bY,PT15M45S,2100
hQ7djkOz9sA,Understanding Ramadan: Special Lecture,Special lecture about the significance of Ramadan and its spiritual benefits,Ramadan,lecture,spiritual,2024-04-25T18:30:00Z,Zikra Classes,https://www.youtube.com/watch?v=hQ7djkOz9sA,PT42M18S,3200
iLm0E9Qe1xM,Tafseer of Surah Al-Ikhlas - Detailed Explanation,Detailed explanation of Surah Al-Ikhlas with historical context and meaning,Quran,Ikhlas,tafseer,detailed,2024-04-18T14:20:00Z,Zikra Classes,https://www.youtube.com/watch?v=iLm0E9Qe1xM,PT22M12S,1850
kF7m6vJ3nZQ,Stories of the Prophets: Prophet Musa (AS),The life and lessons from Prophet Musa (Moses) peace be upon him,Musa,Moses,prophets,stories,2024-04-10T09:45:00Z,Zikra Classes,https://www.youtube.com/watch?v=kF7m6vJ3nZQ,PT35M55S,4100
lRnTp8x6DeY,How to Improve Your Salah - Practical Tips,Learn practical tips to improve your daily prayers and connection with Allah,salah,prayer,tips,practical,2024-04-05T16:30:00Z,Zikra Classes,https://www.youtube.com/watch?v=lRnTp8x6DeY,PT18M40S,2900
mS9pK5xV8rU,Surah Al-Kahf Complete Recitation with Translation,Full recitation of Surah Al-Kahf with English translation,Quran,Kahf,recitation,translation,2024-03-29T13:15:00Z,Zikra Classes,https://www.youtube.com/watch?v=mS9pK5xV8rU,PT1H05M22S,5300
nTq1X8jP7aV,The Importance of Seeking Knowledge in Islam,Discussion about the significance of seeking knowledge from an Islamic perspective,knowledge,Islam,education,2024-03-22T11:00:00Z,Zikra Classes,https://www.youtube.com/watch?v=nTq1X8jP7aV,PT28M15S,1950
oUv2X8jB6bW,Dhikr and Its Benefits for the Heart,How remembrance of Allah purifies and strengthens the heart,dhikr,remembrance,heart,purification,2024-03-15T17:40:00Z,Zikra Classes,https://www.youtube.com/watch?v=oUv2X8jB6bW,PT19M30S,2250
pW3zY9aK7cX,Understanding the Concept of Tawheed,Detailed explanation of the concept of Tawheed (Oneness of Allah),tawheed,oneness,Allah,concept,2024-03-08T15:20:00Z,Zikra Classes,https://www.youtube.com/watch?v=pW3zY9aK7cX,PT31M45S,3750
qX4dZ8bL9dY,Preparing for Ramadan - Spiritual Guide,How to prepare spiritually and mentally for the blessed month of Ramadan,Ramadan,preparation,spiritual,guide,2024-03-01T19:10:00Z,Zikra Classes,https://www.youtube.com/watch?v=qX4dZ8bL9dY,PT24M30S,4200
rY5eA6cM8aZ,Surah Yasin with Detailed Tafseer,Complete recitation and explanation of Surah Yasin with its virtues,Quran,Yasin,tafseer,virtues,2024-02-23T12:30:00Z,Zikra Classes,https://www.youtube.com/watch?v=rY5eA6cM8aZ,PT45M20S,5800
sZ6dB7nL5bX,How to Deal with Hardships in Life - Islamic Perspective,Islamic guidance on dealing with tests and difficulties in life,hardship,tests,patience,Islamic,2024-02-16T14:50:00Z,Zikra Classes,https://www.youtube.com/watch?v=sZ6dB7nL5bX,PT27M15S,3100
tA7fC8mN4cV,The Rights of Parents in Islam,Detailed discussion about the rights and respect of parents in Islam,parents,rights,respect,Islam,2024-02-09T10:40:00Z,Zikra Classes,https://www.youtube.com/watch?v=tA7fC8mN4cV,PT33M50S,2700
uB8gD9pM5dW,Lessons from the Life of Prophet Muhammad (PBUH),Important lessons we can learn from the life of the Prophet Muhammad (peace be upon him),Prophet,Muhammad,seerah,lessons,2024-02-02T16:15:00Z,Zikra Classes,https://www.youtube.com/watch?v=uB8gD9pM5dW,PT38M25S,4900
vC9hE0qN6eX,Understanding the Names of Allah - Part 1,First part of a series explaining the beautiful names of Allah,Allah,names,attributes,understanding,2024-01-26T13:20:00Z,Zikra Classes,https://www.youtube.com/watch?v=vC9hE0qN6eX,PT29M40S,3600
wD0iF1rO7fY,The Importance of Good Character in Islam,How good character and manners are essential in Islamic teachings,character,manners,akhlaq,Islam,2024-01-19T11:10:00Z,Zikra Classes,https://www.youtube.com/watch?v=wD0iF1rO7fY,PT21M15S,2800
xE1jG2sP8gZ,Surah Rahman Complete Recitation and Tafseer,Beautiful recitation and detailed explanation of Surah Rahman,Quran,Rahman,tafseer,recitation,2024-01-12T15:30:00Z,Zikra Classes,https://www.youtube.com/watch?v=xE1jG2sP8gZ,PT40M10S,5100
yF2kH3tQ9hA,The Concept of Tawakkul (Reliance on Allah),Understanding the true meaning of reliance on Allah and its implementation,tawakkul,reliance,trust,Allah,2024-01-05T18:45:00Z,Zikra Classes,https://www.youtube.com/watch?v=yF2kH3tQ9hA,PT23M35S,3300
